pubukprn,kismode,mytarsbj,title,kisaimcode,crseurl,legal_name,provaddress,A*A*A*A* and above,A*A*AC and above,A*A*A and above,AAA and above,ABB and above,BBC and above,CCC and above,Below CCC
10000291,01,NA,Medicine,045,https://aru.ac.uk/study/undergraduate/medicine,Anglia Ruskin University,"Bishop Hall Lane, Chelmsford, CM1 1SQ",3,9,41,35,6,1,1,4
10000961,01,NA,Medicine,043,https://www.brunel.ac.uk/study/undergraduate/Medicine-MBBS,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",5,5,20,10,10,0,0,0
10001478,01,NA,Medicine,043,https://www.sgul.ac.uk/study/courses/medicine,"City St George's, University of London","Northampton Square, London, EC1V 0HB",14,14,41,27,0,2,1,1
10003270,01,NA,Medicine,043,https://www.imperial.ac.uk/study/courses/undergraduate/medicine/,"Imperial College of Science, Technology and Medicine","Faculty Building, Exhibition Road, London, SW7 2AZ",22,26,39,8,1,1,0,2
10003645,01,NA,Medicine,043,https://www.kcl.ac.uk/study/undergraduate/courses/medicine-mbbs,King's College London,"James Clerk Maxwell Building 57, Waterloo Road, London, SE1 8WA",20,20,42,14,1,1,1,0
10005343,01,NA,Medicine,044,https://www.qub.ac.uk/courses/undergraduate/medicine-mb-a100/,Queen's University of Belfast,"Vice-Chancellor's Office, University Road, Belfast, BT7 1NN",24,19,42,6,0,0,0,0
10006840,01,NA,Medicine,045,https://www.birmingham.ac.uk/undergraduate/courses/med/medicine.aspx,The University of Birmingham,"Edgbaston, Birmingham, B15 2TT",8,15,49,18,4,1,0,0
10006842,01,NA,Medicine,045,https://www.liverpool.ac.uk/courses/2025/medicine-and-surgery-mbchb,The University of Liverpool,"Foundation Building, 765 Brownlow Hill, Liverpool, L69 7ZX",12,14,46,22,2,0,1,0
10007141,01,NA,Medicine,043,https://www.lancashire.ac.uk/undergraduate/courses/medicine-mbbs,University of Lancashire,"Preston, PR1 2HE",1,2,2,2,2,1,1,0
10007154,01,CAH01-01-02,Medicine,083,https://www.nottingham.ac.uk/studywithus/ugstudy/courses/UG/Medicine-BMBS-U6UBMBSC1.html,"University of Nottingham, the","University Park, Nottingham, NG7 2RD",12,15,34,14,13,5,1,1
10007157,01,NA,Medicine,045,https://www.sheffield.ac.uk/undergraduate/courses/2025/medicine-mbchb,The University of Sheffield,"Western Bank, Sheffield, S10 2TN",9,19,44,18,6,1,2,0
10007759,01,NA,Medicine,045,https://www.aston.ac.uk/study/courses/medicine-mbchb/september-2025,Aston University,"The Aston Triangle, Birmingham, B4 7ET",3,12,52,30,1,0,0,3
10007767,01,NA,Medicine,045,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/medicine/,University of Keele,"Keele, Newcastle, Staffordshire, ST5 5BG",6,13,46,27,7,0,0,0
10007774,01,NA,Medicine,105,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/medicine,University of Oxford,"University Offices, Wellington Square, Oxford, OX1 2JD",46,22,29,1,1,1,0,0
10007775,01,NA,Medicine,043,https://www.qmul.ac.uk/undergraduate/coursefinder/courses/2025/medicine-5-year-programme,Queen Mary University of London,"327, Mile End Road, London, E1 4NS",37,24,28,10,0,0,0,0
10007783,01,NA,Medicine,045,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/796/A100/medicine-5-years/,University of Aberdeen,"Regent Walk, Aberdeen, AB24 3FX",79,11,9,0,0,0,0,0
10007784,01,NA,Medicine,043,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/medicine-mbbs-bsc,University College London,"Gower Street, London, WC1E 6BT",20,27,41,7,2,1,0,0
10007786,01,NA,Medicine,045,https://www.bristol.ac.uk/study/undergraduate/2025/medicine/,University of Bristol,NA,15,25,40,14,4,0,0,0
10007788,01,NA,Medicine,136,https://www.undergraduate.study.cam.ac.uk/courses/medicine-mb-bchir,University of Cambridge,"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",51,23,22,0,1,1,0,2
10007789,01,NA,Medicine,043,https://www.uea.ac.uk/course/undergraduate/mbbs-medicine/2025-26/sep,The University of East Anglia,"Norwich Research Park, Earlham Road, Norwich, NR4 7TJ",8,22,33,31,1,1,1,1
10007790,01,CAH01-01-02,Medicine,045,https://www.ed.ac.uk/ug/A100,University of Edinburgh,"Old College, South Bridge, Edinburgh, EH8 9YL",69,11,10,2,1,0,0,0
10007792,01,NA,Medicine,083,https://www.exeter.ac.uk/study/undergraduate/courses2025/medicine/medicine/,University of Exeter,"Northcote House, The Queens Drive, Exeter, EX4 4QJ",17,19,36,17,10,0,0,1
10007794,01,NA,Medicine,045,http://www.gla.ac.uk/undergraduate/degrees/medicine/,University of Glasgow,"University Avenue, Glasgow, G12 8QQ",73,7,9,1,0,0,0,0
10007795,01,NA,Medicine,045,https://courses.leeds.ac.uk/202526/5580/medicine-and-surgery-mbchb,The University of Leeds,"Woodhouse Lane, Leeds, LS2 9JT",14,23,44,11,3,1,2,0
10007796,01,NA,Medicine,045,https://le.ac.uk/courses/medicine-mbchb/2025,The University of Leicester,"University Road, Leicester, LE1 7RH",7,11,50,25,4,2,1,0
10007796,01,NA,Medicine,045,https://le.ac.uk/courses/medicine-with-foundation-year-mbchb/2025,The University of Leicester,"University Road, Leicester, LE1 7RH",7,11,50,25,4,2,1,0
10007798,01,NA,Medicine,045,https://www.manchester.ac.uk/study/undergraduate/courses/2025/01430/mbchb-medicine-6-years-including-foundation-year/,The University of Manchester,"Oxford Road, Manchester, M13 9PL",15,15,35,20,25,0,0,0
10007798,01,NA,Medicine,045,https://www.manchester.ac.uk/study/undergraduate/courses/2025/01428/mbchb-medicine/,The University of Manchester,"Oxford Road, Manchester, M13 9PL",13,15,43,21,5,2,0,0
10007803,01,NA,Medicine,021,https://www.st-andrews.ac.uk/subjects/medicine/medicine-bsc-a100/,University of St Andrews,"College Gate, North Street, St. Andrews, Fife, KY16 9AJ",52,13,20,8,1,1,3,2
10007814,01,NA,Medicine,044,https://www.cardiff.ac.uk/study/undergraduate/courses/course/medicine-mbbch,Cardiff University,"Main Building, Park Place, Cardiff, CF10 3AT",21,23,34,20,2,0,0,0
10007852,01,NA,Medicine,045,https://www.dundee.ac.uk/undergraduate/medicine,University of Dundee,"Perth Road, Dundee, DD1 4HN",68,10,9,1,1,1,1,1
10007857,01,CAH01-01,Medicine,083,https://www.bangor.ac.uk/courses/undergraduate/a100-medicine-bmbs,Bangor University,"College Road, Bangor, Gwynedd, LL57 2DG",0,5,15,10,0,0,20,40
99999998,01,NA,Medicine,043,http://www.hyms.ac.uk/undergraduate/medicine-at-hyms/about-our-course,Hull York Medical School,"University Of York, Heslington, York, YO10 5DD",7,8,45,30,6,2,1,0
