Postcode,LAD.Code,LAD.Name,lat,lng
BH5 2DF,E06000058,"Bournemouth, Christchurch and Poole",50.72725,-1.828764
CM1 1SQ,E07000070,Chelmsford,51.741388,0.47452
W4 1LY,E09000018,Hounslow,51.495961,-0.252412
BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",50.741808,-1.897728
BA2 9BN,E06000022,Bath and North East Somerset,51.373205,-2.440911
B3 1JB,E08000025,Birmingham,52.481855,-1.905934
BH12 5BB,E06000058,"Bournemouth, Christchurch and Poole",50.742968,-1.897159
BN2 4AT,E06000043,Brighton and Hove,50.842448,-0.119142
BR2 8HE,E09000006,Bromley,51.38666,0.034822
UB8 3PH,E09000017,Hillingdon,51.53284,-0.472836
HP11 2JZ,E06000060,Buckinghamshire,51.627509,-0.752036
DE14 3RL,E07000193,East Staffordshire,52.799693,-1.631174
CT1 1QU,E07000106,Canterbury,51.279647,1.089394
EN1 4RQ,E09000010,Enfield,51.680384,-0.057141
SE1 8DJ,E09000028,Southwark,51.506389,-0.106788
NE1 8ST,E08000021,Newcastle upon Tyne,54.976634,-1.607451
N14 4PE,E09000010,Enfield,51.644436,-0.145242
EC1V 0HB,E09000019,Islington,51.527903,-0.103099
CV1 5FB,E08000026,Coventry,52.405331,-1.500054
LE1 9BH,E06000016,Leicester,52.629906,-1.137724
DA15 7EB,E09000004,Bexley,51.427947,0.101045
W5 5QN,E09000009,Ealing,51.509612,-0.303941
SR8 2RN,E06000047,County Durham,54.764101,-1.348725
G3 6RQ,S12000049,Glasgow City,55.865948,-4.263663
SE14 6NW,E09000023,Lewisham,51.474144,-0.035375
B63 3NA,E08000027,Dudley,52.45625,-2.051501
TS24 7NT,E06000001,Hartlepool,54.684261,-1.210683
SG12 9JF,E07000242,East Hertfordshire,51.807697,-0.031521
E1 1LD,E09000030,Tower Hamlets,51.515122,-0.068794
SW7 2AZ,E09000033,Westminster,51.499334,-0.179178
EC1M 7AJ,E09000019,Islington,51.522458,-0.097819
SO22 4NR,E07000094,Winchester,51.059996,-1.326729
SE1 8WA,E09000022,Lambeth,51.505036,-0.112652
KT1 2EE,E09000021,Kingston upon Thames,51.403273,-0.303163
