pubukprn,kiscourseid,kismode,title,legal_name,provaddress,t1,t2,t3,t4,t5,t6,t7,nsspop,overall
10000961,1FDJUTHEATRE-FT-BA,01,Theatre,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",86,82,76,83,40,70,70,20,72.4
10000961,1FDJUTHEATRE-KW-BA,01,Theatre with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",86,82,76,83,40,70,70,20,72.4
10000961,1P4LUJOURPOL-FT-BA,01,Journalism (Politics),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77.2,81.4,85.8,85.4,79.8,83.9,76.4,40,81.4
10000961,27H8UMEDCOM-FT-BSC,01,Media and Communications,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",75,84,88,88,79,88,82,25,83.4
10000961,27H8UMEDCOM-KW-BSC,01,Media and Communications with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",75,84,88,88,79,88,82,25,83.4
10000961,27H8UMEDCOM-NW-BSC,01,Media and Communications with Placements,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",75,84,88,88,79,88,82,25,83.4
10000961,2CG1UMUSPROD-FT-BA,01,Music (Production),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",79.3,79.5,71.7,81,73.7,85.3,72.3,275,77.5
10000961,2CG1UMUSPROD-KW-BA,01,Music (Production) with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",79.3,79.5,71.7,81,73.7,85.3,72.3,275,77.5
10000961,2DC3UCPMPSCI-FT-BSC,01,Computer Science (Cybersecurity),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77,77,83,89,82,87,74,230,81.3
10000961,2DC3UCPMPSCI-KW-BSC,01,Computer Science (Cybersecurity) with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77,77,83,89,82,87,74,230,81.3
10000961,2EC9UEENGBUS-FT-BENG,01,Engineering with Business,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",82,80.7,81.6,87.6,83.9,88.3,81.7,560,83.7
10000961,2EC9UEENGBUS-KW-BENG,01,Engineering with Business with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",82,80.7,81.6,87.6,83.9,88.3,81.7,560,83.7
10000961,3A6KUMENGBUS-FT-MENG,01,Engineering with Business - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",82,80.7,81.6,87.6,83.9,88.3,81.7,560,83.7
10000961,3A6KUMENGBUS-KW-MENG,01,Engineering with Business - integrated with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",82,80.7,81.6,87.6,83.9,88.3,81.7,560,83.7
10000961,3CJ4UM22MEEN-FT-MENG,01,Mechanical Engineering - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77,80,62,78,65,87,71,35,74.3
10000961,3CJ4UM22MEEN-KW-MENG,01,Mechanical Engineering with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77,80,62,78,65,87,71,35,74.3
10000961,3CP5UJOURCOM-FT-BA,01,Journalism (Communication),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77.2,81.4,85.8,85.4,79.8,83.9,76.4,40,81.4
10000961,3D9CUPECSD-FT-BSC,01,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues)",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",81,78,79,94,88,82,76,15,82.6
10000961,3D9CUPECSD-FT-DIPHE,01,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues)",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",NA,NA,NA,NA,NA,NA,NA,0,NA
10000961,3D9CUPECSD-KW-BSC,01,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues) with placement year",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",82,77,76,88,85,80,79,60,81
10000961,3JD7UEEEECS-FT-BENG,01,Electronic and Electrical Engineering (Computer Systems),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",74,77,77,85,74,87,67,40,77.3
10000961,3JD7UEEEECS-KW-BENG,01,Electronic and Electrical Engineering (Computer Systems) with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",74,77,77,85,74,87,67,40,77.3
10000961,3L7MUNUCHHEA-FT-BSC,01,Nursing (Child Health),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",98,97,78,88,67,83,89,10,85.7
10000961,3LP3UMEDIC-FT-MBBS,01,Medicine,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",NA,NA,NA,NA,NA,NA,NA,0,NA
10000961,3M44USPHEXSC-FT-BSC,01,"Sport, Health and Exercise Sciences",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",85,77,76,88,83,75,74,25,79.7
10000961,3M44USPHEXSC-FT-DIPHE,01,"Sport, Health and Exercise Sciences",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",NA,NA,NA,NA,NA,NA,NA,0,NA
10000961,3M44USPHEXSC-KW-BSC,01,"Sport, Health and Exercise Sciences with Placement Year",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",85,85,80,88,96,92,90,15,88
10000961,4PHGUSPHESBS-FT-BSC,01,"Sport, Health and Exercise Sciences with Business Studies",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",74,68,73,85,88,81,72,20,77.3
10000961,4PHGUSPHESBS-FT-DIPHE,01,"Sport, Health and Exercise Sciences with Business Studies",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",NA,NA,NA,NA,NA,NA,NA,0,NA
10000961,4PHGUSPHESBS-KW-BSC,01,"Sport, Health & Exercise Sciences with Business Studies with Placement Year",Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",81.2,79.5,81,87.2,85,86.7,81.5,375,83.2
10000961,516GUE22AUEN-FT-BENG,01,Automotive Engineering,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",62,59,48,57,33,79,42,15,54.3
10000961,516GUE22AUEN-KW-BENG,01,Automotive Engineering with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",62,59,48,57,33,79,42,15,54.3
10000961,51JMUBPRDEEN-FT-BSC,01,Product Design Engineering,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,51JMUBPRDEEN-KW-BSC,01,Product Design Engineering with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,51JMUMPRDEEN-FT-MDES,01,Product Design Engineering - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,51JMUMPRDEEN-KW-MDES,01,Product Design Engineering - integrated with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,58FHUECIENG-FT-BENG,01,Civil Engineering,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,58FHUECIENG-KW-BENG,01,Civil Engineering with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,58FHUMCIENG-FT-MENG,01,Civil Engineering - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,58FHUMCIENG-KW-MENG,01,Civil Engineering - integrated with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,5J5EUBINDDES-FT-BA,01,Industrial Design,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,5J5EUBINDDES-KW-BA,01,Industrial Design with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,5J5EUMINDDES-FT-MDES,01,Industrial Design - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,5J5EUMINDDES-KW-MDES,01,Industrial Design - integrated with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",88,85,79,85,77,84,80,80,82.6
10000961,65J7UM22AUEN-FT-MENG,01,Automotive Engineering - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",62,59,48,57,33,79,42,15,54.3
10000961,65J7UM22AUEN-KW-MENG,01,Automotive Engineering - integrated with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",62,59,48,57,33,79,42,15,54.3
10000961,6B95UNUMEHEA-FT-BSC,01,Nursing (Mental Health),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",98,97,78,88,67,83,89,10,85.7
10000961,6BHLUE22AEEN-FT-BENG,01,Aerospace Engineering,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",65,68,48,50,65,85,46,25,61
10000961,6BHLUE22AEEN-KW-BENG,01,Aerospace Engineering with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",65,68,48,50,65,85,46,25,61
10000961,6JE7UE22MEEN-FT-BENG,01,Mechanical Engineering,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",62,59,48,57,33,79,42,15,54.3
10000961,6JE7UE22MEEN-KW-BENG,01,Mechanical Engineering with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",77,80,62,78,65,87,71,35,74.3
10000961,7K18UNUADULT-FT-BSC,01,Nursing (Adult),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",98,97,78,88,67,83,89,10,85.7
10000961,8CP6UECEFCE-FT-BENG,01,Civil Engineering (Flood and Coastal Engineering),Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,8CP6UECEFCE-KW-BENG,01,Civil Engineering (Flood and Coastal Engineering) with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,8CP6UMCEFCE-FT-MENG,01,Civil Engineering (Flood and Coastal Engineering) - integrated,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
10000961,8CP6UMCEFCE-KW-MENG,01,Civil Engineering (Flood and Coastal Engineering) - integrated with Placement Year,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",71,73,72,82,77,87,72,45,76.3
