pubukprn,ukprn,kiscourseid,kismode,gosalunavailreason,gosalpop,gosalresponse,gosalsample,gosalresp_rate,gosalagg,gosalaggyear,gosalyear1,gosalyear2,gosalsbj,goinstlq,goinstmed,goinstuq,goprov_pc_uk,goprov_pc_e,goprov_pc_ni,goprov_pc_s,goprov_pc_w,title,kisaimcode,crseurl,legal_name,provaddress,fillMedian,fillPop,fillLQ,fillUQ
10000961,10000961,1FDJUTHEATRE-FT-BA,01,0,10,30,45,65,22,2020-22,2021-22,2020-21,CAH25-02,19000,25000,26000,100,100,0,0,0,Theatre,000,https://www.brunel.ac.uk/study/undergraduate/theatre-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,1FDJUTHEATRE-KW-BA,01,0,10,30,45,65,22,2020-22,2021-22,2020-21,CAH25-02,19000,25000,26000,100,100,0,0,0,Theatre with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/theatre-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,1P4LUJOURPOL-FT-BA,01,1,15,40,75,55,22,2020-22,2021-22,2020-21,CAH24-01,21000,24000,30000,100,100,0,0,0,Journalism (Politics),000,https://www.brunel.ac.uk/study/undergraduate/journalism-politics-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,1P4LUJOURPOL-FT-BA,01,1,10,30,50,55,23,2020-22,2021-22,2020-21,CAH24-01-05,21000,23000,30000,100,100,0,0,0,Journalism (Politics),000,https://www.brunel.ac.uk/study/undergraduate/journalism-politics-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,27H8UMEDCOM-FT-BSC,01,1,10,30,50,55,23,2020-22,2021-22,2020-21,CAH24-01-05,21000,23000,30000,100,100,0,0,0,Media and Communications,021,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,27H8UMEDCOM-KW-BSC,01,1,10,30,50,55,23,2020-22,2021-22,2020-21,CAH24-01-05,21000,23000,30000,100,100,0,0,0,Media and Communications with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,27H8UMEDCOM-NW-BSC,01,1,10,30,50,55,23,2020-22,2021-22,2020-21,CAH24-01-05,21000,23000,30000,100,100,0,0,0,Media and Communications with Placements,021,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2CG1UMUSPROD-FT-BA,01,1,110,225,335,67,11,2021-22,2021-22,NA,CAH10,27500,30000,32500,100,99,0,0,0,Music (Production),000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2CG1UMUSPROD-FT-BA,01,1,10,30,45,65,22,2020-22,2021-22,2020-21,CAH25-02,19000,25000,26000,100,100,0,0,0,Music (Production),000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2CG1UMUSPROD-KW-BA,01,1,110,225,335,67,11,2021-22,2021-22,NA,CAH10,27500,30000,32500,100,99,0,0,0,Music (Production) with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2CG1UMUSPROD-KW-BA,01,1,10,30,45,65,22,2020-22,2021-22,2020-21,CAH25-02,19000,25000,26000,100,100,0,0,0,Music (Production) with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2DC3UCPMPSCI-FT-BSC,01,1,55,120,220,55,13,2021-22,2021-22,NA,CAH11-01-01,26000,30000,35000,100,96,2,0,2,Computer Science (Cybersecurity),021,https://www.brunel.ac.uk/study/undergraduate/computer-science-cybersecurity-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2DC3UCPMPSCI-KW-BSC,01,1,55,120,220,55,13,2021-22,2021-22,NA,CAH11-01-01,26000,30000,35000,100,96,2,0,2,Computer Science (Cybersecurity) with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/computer-science-cybersecurity-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2EC9UEENGBUS-FT-BENG,01,1,110,225,335,67,12,2021-22,2021-22,NA,CAH10-01,27500,30000,32500,100,99,0,0,0,Engineering with Business,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2EC9UEENGBUS-FT-BENG,01,1,75,170,335,51,12,2021-22,2021-22,NA,CAH17-01,25000,26500,31000,100,100,0,0,0,Engineering with Business,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2EC9UEENGBUS-KW-BENG,01,1,110,225,335,67,12,2021-22,2021-22,NA,CAH10-01,27500,30000,32500,100,99,0,0,0,Engineering with Business with Placement Year,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,2EC9UEENGBUS-KW-BENG,01,1,75,170,335,51,12,2021-22,2021-22,NA,CAH17-01,25000,26500,31000,100,100,0,0,0,Engineering with Business with Placement Year,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3A6KUMENGBUS-FT-MENG,01,1,110,225,335,67,12,2021-22,2021-22,NA,CAH10-01,27500,30000,32500,100,99,0,0,0,Engineering with Business - integrated,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3A6KUMENGBUS-FT-MENG,01,1,75,170,335,51,12,2021-22,2021-22,NA,CAH17-01,25000,26500,31000,100,100,0,0,0,Engineering with Business - integrated,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3A6KUMENGBUS-KW-MENG,01,1,110,225,335,67,12,2021-22,2021-22,NA,CAH10-01,27500,30000,32500,100,99,0,0,0,Engineering with Business - integrated with Placement Year,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3A6KUMENGBUS-KW-MENG,01,1,75,170,335,51,12,2021-22,2021-22,NA,CAH17-01,25000,26500,31000,100,100,0,0,0,Engineering with Business - integrated with Placement Year,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3CJ4UM22MEEN-FT-MENG,01,1,20,45,70,65,13,2021-22,2021-22,NA,CAH10-01-02,25000,28000,32000,100,100,0,0,0,Mechanical Engineering - integrated,056,http://www.brunel.ac.uk/study/undergraduate/Mechanical-Engineering-Meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3CJ4UM22MEEN-KW-MENG,01,1,20,45,70,65,13,2021-22,2021-22,NA,CAH10-01-02,25000,28000,32000,100,100,0,0,0,Mechanical Engineering with Placement Year,056,http://www.brunel.ac.uk/study/undergraduate/Mechanical-Engineering-Meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3CP5UJOURCOM-FT-BA,01,1,15,40,75,55,22,2020-22,2021-22,2020-21,CAH24-01,21000,24000,30000,100,100,0,0,0,Journalism (Communication),000,https://www.brunel.ac.uk/study/undergraduate/journalism-communication-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3CP5UJOURCOM-FT-BA,01,1,10,30,50,55,23,2020-22,2021-22,2020-21,CAH24-01-05,21000,23000,30000,100,100,0,0,0,Journalism (Communication),000,https://www.brunel.ac.uk/study/undergraduate/journalism-communication-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3D9CUPECSD-FT-BSC,01,0,95,305,580,53,21,2020-22,2021-22,2020-21,CAH03,22500,26000,30500,100,98,1,0,1,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues)",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3D9CUPECSD-FT-DIPHE,01,1,41,NA,NA,NA,NA,NA,NA,NA,NA,25500,28500,32400,NA,NA,NA,NA,NA,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues)",029,https://www.brunel.ac.uk/study/courses/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3D9CUPECSD-KW-BSC,01,0,95,305,580,53,21,2020-22,2021-22,2020-21,CAH03,22500,26000,30500,100,98,1,0,1,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues) with placement year",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3JD7UEEEECS-FT-BENG,01,1,25,45,55,80,13,2021-22,2021-22,NA,CAH10-01-08,29000,30000,36000,100,100,0,0,0,Electronic and Electrical Engineering (Computer Systems),008,http://www.brunel.ac.uk/study/undergraduate/Electronic-and-Electrical-Engineering-Computer-Systems-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3JD7UEEEECS-KW-BENG,01,1,25,45,55,80,13,2021-22,2021-22,NA,CAH10-01-08,29000,30000,36000,100,100,0,0,0,Electronic and Electrical Engineering (Computer Systems) with Placement Year,008,http://www.brunel.ac.uk/study/undergraduate/Electronic-and-Electrical-Engineering-Computer-Systems-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3L7MUNUCHHEA-FT-BSC,01,1,25,40,60,70,11,2021-22,2021-22,NA,CAH02,27000,28500,32500,100,100,0,0,0,Nursing (Child Health),021,http://www.brunel.ac.uk/study/undergraduate/nursing-child-health-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3LP3UMEDIC-FT-MBBS,01,1,41,NA,NA,NA,NA,NA,NA,NA,NA,25500,28500,32400,NA,NA,NA,NA,NA,Medicine,043,https://www.brunel.ac.uk/study/undergraduate/Medicine-MBBS,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3M44USPHEXSC-FT-BSC,01,0,95,305,580,53,21,2020-22,2021-22,2020-21,CAH03,22500,26000,30500,100,98,1,0,1,"Sport, Health and Exercise Sciences",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3M44USPHEXSC-FT-DIPHE,01,1,41,NA,NA,NA,NA,NA,NA,NA,NA,25500,28500,32400,NA,NA,NA,NA,NA,"Sport, Health and Exercise Sciences",029,https://www.brunel.ac.uk/study/courses/sport-health-and-exercise-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,3M44USPHEXSC-KW-BSC,01,0,95,305,580,53,21,2020-22,2021-22,2020-21,CAH03,22500,26000,30500,100,98,1,0,1,"Sport, Health and Exercise Sciences with Placement Year",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,4PHGUSPHESBS-FT-BSC,01,0,95,305,580,53,21,2020-22,2021-22,2020-21,CAH03,22500,26000,30500,100,98,1,0,1,"Sport, Health and Exercise Sciences with Business Studies",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-with-business-studies-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,4PHGUSPHESBS-FT-BSC,01,0,35,90,175,50,13,2021-22,2021-22,NA,CAH17-01-02,25000,26500,31000,100,100,0,0,0,"Sport, Health and Exercise Sciences with Business Studies",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-with-business-studies-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,4PHGUSPHESBS-FT-DIPHE,01,1,41,NA,NA,NA,NA,NA,NA,NA,NA,25500,28500,32400,NA,NA,NA,NA,NA,"Sport, Health and Exercise Sciences with Business Studies",029,https://www.brunel.ac.uk/study/courses/sport-health-and-exercise-sciences-with-business-studies-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
10000961,10000961,4PHGUSPHESBS-KW-BSC,01,0,95,305,580,53,21,2020-22,2021-22,2020-21,CAH03,22500,26000,30500,100,98,1,0,1,"Sport, Health & Exercise Sciences with Business Studies with Placement Year",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-with-business-studies-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",28500,41,25500,32400
