pubukprn,kismode,mytarsbj,title,kisaimcode,crseurl,legal_name,provaddress,A*A*A*A* and above,A*A*AC and above,A*A*A and above,AAA and above,ABB and above,BBC and above,CCC and above,Below CCC
10000961,01,CAH25-02-03,Theatre,000,https://www.brunel.ac.uk/study/undergraduate/theatre-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,20,15,20,10,15
10000961,01,CAH25-02-03,Theatre with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/theatre-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,20,15,20,10,15
10000961,01,CAH24-01,Journalism (Politics),000,https://www.brunel.ac.uk/study/undergraduate/journalism-politics-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,30,20
10000961,01,CAH24-01-05,Journalism (Politics),000,https://www.brunel.ac.uk/study/undergraduate/journalism-politics-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,35,20
10000961,01,CAH24-01-05,Media and Communications,021,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,35,20
10000961,01,CAH24-01-05,Media and Communications with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,35,20
10000961,01,CAH24-01-05,Media and Communications with Placements,021,https://www.brunel.ac.uk/study/undergraduate/media-and-communications-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,35,20
10000961,01,CAH10,Music (Production),000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,3,13,12,18,18,17,15
10000961,01,CAH25-02-02,Music (Production),000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,0,10,15,15,15,40
10000961,01,CAH10,Music (Production) with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,3,13,12,18,18,17,15
10000961,01,CAH25-02-02,Music (Production) with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/music-production-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,0,10,15,15,15,40
10000961,01,CAH11-01-01,Computer Science (Cybersecurity),021,https://www.brunel.ac.uk/study/undergraduate/computer-science-cybersecurity-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",2,1,14,24,26,16,6,7
10000961,01,CAH11-01-01,Computer Science (Cybersecurity) with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/computer-science-cybersecurity-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",2,1,14,24,26,16,6,7
10000961,01,CAH10-01-01,Engineering with Business,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH17-01,Engineering with Business,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,6,12,23,18,21,14
10000961,01,CAH10-01-01,Engineering with Business with Placement Year,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH17-01,Engineering with Business with Placement Year,008,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,6,12,23,18,21,14
10000961,01,CAH10-01-01,Engineering with Business - integrated,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH17-01,Engineering with Business - integrated,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,6,12,23,18,21,14
10000961,01,CAH10-01-01,Engineering with Business - integrated with Placement Year,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,2,8,14,18,15,15,23
10000961,01,CAH17-01,Engineering with Business - integrated with Placement Year,056,https://www.brunel.ac.uk/study/courses/engineering-with-business-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,1,6,12,23,18,21,14
10000961,01,CAH10-01-02,Mechanical Engineering - integrated,056,http://www.brunel.ac.uk/study/undergraduate/Mechanical-Engineering-Meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,30,15,5,25,15,5
10000961,01,CAH10-01-02,Mechanical Engineering with Placement Year,056,http://www.brunel.ac.uk/study/undergraduate/Mechanical-Engineering-Meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,30,15,5,25,15,5
10000961,01,CAH24-01,Journalism (Communication),000,https://www.brunel.ac.uk/study/undergraduate/journalism-communication-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,30,20
10000961,01,CAH24-01-05,Journalism (Communication),000,https://www.brunel.ac.uk/study/undergraduate/journalism-communication-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,5,10,25,35,20
10000961,01,NA,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues)",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,50,10,10,20,10
10000961,01,NA,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues)",029,https://www.brunel.ac.uk/study/courses/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",NA,NA,NA,NA,NA,NA,NA,NA
10000961,01,CAH03-02-01,"Sport, Health and Exercise Sciences (Physical Education, Coaching and Social Issues) with placement year",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-physical-education-coaching-and-social-issues-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",2,0,16,15,14,15,19,10
10000961,01,CAH10-01-08,Electronic and Electrical Engineering (Computer Systems),008,http://www.brunel.ac.uk/study/undergraduate/Electronic-and-Electrical-Engineering-Computer-Systems-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH10-01-08,Electronic and Electrical Engineering (Computer Systems) with Placement Year,008,http://www.brunel.ac.uk/study/undergraduate/Electronic-and-Electrical-Engineering-Computer-Systems-BEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,NA,Nursing (Child Health),021,http://www.brunel.ac.uk/study/undergraduate/nursing-child-health-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,20,15,5,20,30,0
10000961,01,NA,Medicine,043,https://www.brunel.ac.uk/study/undergraduate/Medicine-MBBS,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",5,5,20,10,10,0,0,0
10000961,01,NA,"Sport, Health and Exercise Sciences",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",3,0,13,12,14,17,16,11
10000961,01,NA,"Sport, Health and Exercise Sciences",029,https://www.brunel.ac.uk/study/courses/sport-health-and-exercise-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",NA,NA,NA,NA,NA,NA,NA,NA
10000961,01,NA,"Sport, Health and Exercise Sciences with Placement Year",021,https://www.brunel.ac.uk/study/undergraduate/sport-health-and-exercise-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,20,10,20,20,20,20
